MIN,MAX,Enemy,Weight,出現エリア想定,出現確率
26,27,ケットシーLv.2,80,29,22.22%
26,27,グレンデルLv.1,80,28,22.22%
28,29,ドラゴンLv.1,100,30,23.81%
28,29,ハルピュイアLv.1,80,27,19.05%
28,29,グレンデルLv.1,100,28,23.81%
28,29,ケットシーLv.2,90,29,21.43%
28,29,ゴーストLv.2,50,31,11.90%
30,32,バットLv.3,100,30,23.26%
30,32,シーフLv.2,80,34,18.60%
30,32,ドラゴンLv.1,100,30,23.26%
30,32,ゴーストLv.2,100,31,23.26%
30,32,ハルピュイアLv.1,50,27,11.63%
33,35,コボルトLv.2,100,35,33.33%
33,35,スナイパーLv.1,100,35,33.33%
33,35,スライムLv.3,30,37,10.00%
33,35,サムライLv.2,20,36,6.67%
33,35,ハルピュイアLv.1,50,27,16.67%
36,38,スライムLv.3,100,37,22.22%
36,38,サムライLv.2,100,36,22.22%
36,38,吸血草Lv.2,100,38,22.22%
36,38,コボルトLv.2,100,35,22.22%
36,38,ハルピュイアLv.1,50,27,11.11%
39,40,動く甲冑Lv.2,100,40,28.57%
39,40,アメーバLv.2,100,39,28.57%
39,40,吸血草Lv.2,100,38,28.57%
39,40,ハルピュイアLv.1,50,27,14.29%
41,43,エルフLv.1,100,42,25.00%
41,43,老師Lv.1,100,41,25.00%
41,43,スライムLv.3,100,37,25.00%
41,43,動く甲冑Lv.2,80,40,20.00%
41,43,シーフLv.2,20,34,5.00%
44,46,火薬学士Lv.2,100,46,34.48%
44,46,ウンディーネLv.3,70,45,24.14%
44,46,ビショップLv.3,100,47,34.48%
44,46,シーフLv.2,20,34,6.90%
47,49,大蛇Lv.3,100,49,30.30%
47,49,ガストLv.1,100,48,30.30%
47,49,ビショップLv.3,100,47,30.30%
47,49,ウンディーネLv.3,10,45,3.03%
47,49,シーフLv.2,20,34,6.06%
50,52,ハルピュイアLv.2,100,51,22.22%
50,52,トロールLv.2,100,52,22.22%
50,52,ゴブリンLv.3,100,50,22.22%
50,52,ガストLv.1,100,48,22.22%
50,52,コボルトLv.3,50,54,11.11%
53,55,スナイパーLv.2,100,55,18.18%
53,55,コボルトLv.3,100,54,18.18%
53,55,アーリマンLv.3,100,53,18.18%
53,55,トロールLv.2,100,52,18.18%
53,55,ゴブリンLv.3,100,50,18.18%
53,55,ハルピュイアLv.2,50,51,9.09%
56,58,タイタンLv.2,100,58,23.26%
56,58,ゾンビLv.3,100,56,23.26%
56,58,スナイパーLv.2,100,55,23.26%
56,58,アーリマンLv.3,80,53,18.60%
56,58,ハルピュイアLv.2,50,51,11.63%
59,61,ピクシーLv.2,100,61,25.00%
59,61,ケットシーLv.3,100,60,25.00%
59,61,ハルピュイアLv.3,100,60,25.00%
59,61,スナイパーLv.2,50,55,12.50%
59,61,ハルピュイアLv.2,50,51,12.50%
62,64,リザードマンLv.3,100,64,20.41%
62,64,シーフLv.3,80,63,16.33%
62,64,老師Lv.2,100,62,20.41%
62,64,ピクシーLv.2,80,61,16.33%
62,64,ケットシーLv.3,50,60,10.20%
62,64,ハルピュイアLv.3,50,60,10.20%
62,64,ピクシーLv.2,30,61,6.12%
65,67,エルフLv.2,100,67,25.00%
65,67,老師Lv.2,80,62,20.00%
65,67,ガルーダLv.2,70,68,17.50%
65,67,死神Lv.2,100,66,25.00%
65,67,ハルピュイアLv.3,25,60,6.25%
65,67,ハルピュイアLv.2,25,51,6.25%
68,70,サムライLv.3,100,70,24.39%
68,70,ゴーストLv.3,100,69,24.39%
68,70,ガルーダLv.2,100,68,24.39%
68,70,ガストLv.2,60,71,14.63%
68,70,ハルピュイアLv.3,25,60,6.10%
68,70,ハルピュイアLv.2,25,51,6.10%
71,73,グレンデルLv.2,100,73,20.00%
71,73,火薬学士Lv.3,100,72,20.00%
71,73,ガストLv.2,100,71,20.00%
71,73,サムライLv.3,100,70,20.00%
71,73,ゴーストLv.3,50,69,10.00%
71,73,ガルーダLv.2,50,68,10.00%
74,76,バロールLv.3,100,76,19.23%
74,76,スナイパーLv.3,100,75,19.23%
74,76,吸血草Lv.3,100,74,19.23%
74,76,グレンデルLv.2,70,73,13.46%
74,76,火薬学士Lv.3,50,72,9.62%
74,76,ガストLv.2,50,71,9.62%
74,76,コボルトLv.3,50,54,9.62%
77,79,サモナーLv.3,100,78,21.28%
77,79,ピクシーLv.3,100,77,21.28%
77,79,バロールLv.3,100,76,21.28%
77,79,スナイパーLv.3,60,75,12.77%
77,79,コボルトLv.3,50,54,10.64%
77,79,グレンデルLv.3,30,81,6.38%
77,79,狼Lv.3,30,83,6.38%
80,82,狼Lv.3,100,83,20.00%
80,82,グレンデルLv.3,100,81,20.00%
80,82,サモナーLv.3,100,78,20.00%
80,82,ピクシーLv.3,80,77,16.00%
80,82,バロールLv.3,70,76,14.00%
80,82,コボルトLv.3,50,54,10.00%
83,85,動く甲冑Lv.3,100,85,19.23%
83,85,アメーバLv.3,100,84,19.23%
83,85,狼Lv.3,100,83,19.23%
83,85,グレンデルLv.3,100,81,19.23%
83,85,サモナーLv.3,70,78,13.46%
83,85,ハルピュイアLv.3,25,60,4.81%
83,85,ハルピュイアLv.2,25,51,4.81%
86,88,死神Lv.3,100,89,21.28%
86,88,トロールLv.3,100,88,21.28%
86,88,エルフLv.3,100,87,21.28%
86,88,動く甲冑Lv.3,80,85,17.02%
86,88,ピクシーLv.3,60,77,12.77%
86,88,ハルピュイアLv.3,30,60,6.38%
89,91,ガルーダLv.3,100,92,20.00%
89,91,死神Lv.3,100,89,20.00%
89,91,タイタンLv.3,100,90,20.00%
89,91,トロールLv.3,100,88,20.00%
89,91,ピクシーLv.3,100,77,20.00%
92,94,老師Lv.3,100,93,20.00%
92,94,ガルーダLv.3,100,92,20.00%
92,94,タイタンLv.3,100,90,20.00%
92,94,ピクシーLv.3,100,77,20.00%
92,94,エルフLv.3,100,87,20.00%
95,99,ドラゴンLv.3,100,99,16.95%
95,99,ガストLv.3,100,95,16.95%
95,99,タイタンLv.3,100,90,16.95%
95,99,ピクシーLv.3,100,77,16.95%
95,99,老師Lv.3,70,93,11.86%
95,99,コボルトLv.3,70,54,11.86%
95,99,ハルピュイアLv.2,25,51,4.24%
95,99,ハルピュイアLv.3,25,60,4.24%
